idx	question	speaker
0	What are the main data sources for language models?	1
1	What are the affiliations of the authors of the paper?	2
4	What is the name of the speaker?	2
5	Which model did they use to obtain the 82%-87% accuracy?	2
7	Do CoNLL-2003 taggers still work?	2
8	What is the novelty of the proposed human evaluation method?	1
9	What does the success of the existing weakly supervised approach heavily rely on?	1
10	What kind of advances can be done to improve the score?	2
12	How many authors are involved in the paper?	2
15	How many authors are involved in the paper?	2
16	Which domains are simplified more?	1
18	What is the example of the preference for shorter left conjuncts?	1
20	Can I use the models for my research?	2
21	DEplain-web contains documents from the web. Which type of content is inside DEplain-apa?	2
22	Which factors lead to good generalization?	1
24	How was the tendency for left conjuncts to be shorter measured?	2
25	How were the experiments designed to study the effect of the governor’s position?	1
26	How well does a baseline classifier work training on imbalanced data?	1
27	How many authors are involved in the paper?	1
28	What are the characters' names in the example conversation?	1
29	On which discourse phenomena do context-aware MT models improve over context-agnostic ones?	2
31	What are the affiliations of the authors of the paper?	2
33	How exactly does the introduced framework quantify the positionality?	2
37	What was the finding of the previous study where human subjects were given the same persona prompts?	2
38	Which sources of data were used in this study?	2
39	How many authors are involved in the paper?	2
40	What are some closely related tasks for cognitive dissonance?	2
42	How many authors are involved in the paper?	1
43	How many authors are involved in the paper?	1
44	How does the introduced framework differ from the previous works?	2
45	Which of the three compared setups overlaps the most with the lexicon of stereotypes?	2
46	Which commercial systems were compared?	2
48	How many authors are involved in the paper?	1
49	Up to how many tokens context length were MPP evaluations performed?	1
51	Which domains did they include in their dataset?	2
52	What is the definition of positionality in general?	1
53	What is the name of the speaker?	2
55	Does EDAtt adapt an existing offline ST model?	2
56	How many authors are involved in the paper?	1
57	Does the tested model work on the test suite?	1
58	Which three variants of KITMUS are there?	2
60	What are the affiliations of the authors of the paper?	2
61	What is the last research question?	2
63	How does the metric sensitivity work?	2
64	What is the name of the speaker?	1
65	Does greater sensitivity indicate improved model performance, or does it suggest the opposite?	2
68	What kind of linguistic context do models receive during pretraining?	2
69	How many clean validation samples are typically needed for good performance in WSL?	1
70	What are the affiliations of the authors of the paper?	1
72	Why is there a need to develop new methods for measuring media biases?	1
73	What is the name of the speaker?	2
76	What does the political bias propagation pipeline look like?	2
78	Does the simplification process differ for DEplain-apa and web?	2
79	Is Coscript publicly available?	1
80	How exactly is the watermark inserted into the text?	2
81	What are the affiliations of the authors of the paper?	2
83	Can encoder-decoder models such as mt5 improve by training on a mixture of languages?	2
85	What is an example of constrained language planning?	1
86	How do they make sure of the covertness of their method?	1
87	How does the work use existing PLMs to build a new one?	2
88	Which country is GPT-4 the least aligned with?	1
89	On which example sentence does the speaker show how the model leverages knowledge learned though the attention mechanism?	1
91	How does the amount of tasks impact the model performance?	2
92	Name three treeless baselines that the authors compare their method with.	1
93	In what relation are the two co-authors with the first author?	2
95	Who is the first author of PaLM?	1
97	How many problems of SimulST does the speaker mention?	2
98	What is an effective way to mitigate social and political biases in datasets when training NLP models?	2
101	How good is the fluency of PaLM?	2
102	What are the important properties of a watermarking method?	1
103	Which are the 14 different languages into which the English TED talks have been translated?	1
104	How many instances are sampled from one dataset for reannotating?	1
105	Which distance metrics are used for measuring the difference between benign and backdoor datasets?	1
107	How were the multilingual encoder-based models used for this task?	2
111	How do the authors decide what moderate-frequency words are?	2
115	What speech segment size does the approach use?	2
116	In the example with Servin and Kea, what entity-specific knowledge is needed?	1
117	What is the most important factor between the example quality and the similarity to the source sentence?	2
119	Which language models does the paper focus on in the extended experiments?	1
120	Does the model use attention scores from a specific layer or combine the scores from several layers?	2
121	What are the examples of direct inference?	1
122	What are the affiliations of the authors of the paper?	1
125	How many authors are involved in the paper?	1
126	Was translating the natural language query using a machine translation model before semantic parsing considered as a baseline?	1
129	What example did the authors give as a marked group?	2
130	Which model architectures do not generalize well?	2
131	What are the names of the testing datasets?	1
132	How many authors are involved in the paper?	1
133	Does the author work with multiple modalities or only text?	2
138	What do the authors claim is an understudied area in NLU?	2
139	What are the names of the speakers?	1
140	Did Coscript undergo any quality checks?	2
141	What are the limits of existing resources for on context-dependent translation?	1
143	To which existing SimulST policies is the approach compared?	1
144	What are the affiliations of the authors of the paper?	2
145	What is the name of the speaker?	2
147	How many authors are involved in the paper?	2
149	Is the dataset publicly available?	2
154	What are the affiliations of the authors of the paper?	1
155	What is the name of the speaker?	1
160	What type of tokens does the first step of the method map the input tokens to?	1
161	How many scripts are represented in Coscript?	1
163	What is the best alignment method for DEplain?	1
164	What is the benefit of weakly supervised learning?	2
167	The documents in DEplain-web were aligned with manual and automatic alignment methods. How was the allocation exactly?	1
168	How was the CoNLL++ dataset created?	1
171	What are the existing works on this?	1
172	Are multilingual LLMs such as Codex or Bloom sufficient for CLSP?	2
175	How does the method deal with the ambiguity of permutations?	2
176	How is the fairness of a downstream NLP model defined?	2
177	What is the name of the speaker?	1
178	What is the name of the speaker?	2
180	What is the name of the speaker?	2
182	What does tropicalism indicate in the context of this paper?	2
183	How did the authors create the human-written portrayals of target groups?	2
184	What was used to measure context usage in this work?	1
